
Download Data - raw
Regional - CRCM4.2.3 (Run 1) - SR-A2
Air Temperature - Mean Min (2m) (degC)
Area: 46.48N 59.85W to 51.69N 51.41W
Baseline Years: 1971 - 2000

lat, lon, year, january, february, march, april, may, june, july, august, september, october, november, december, winter, spring, summer, autumn, annual
48, -60, 1983, -2.08377, -5.08127, -3.00542, -0.468934, 1.74781, 4.6998, 8.12113, 9.75666, 9.55127, 8.8825, 6.55764, 3.55045, -1.20486, -0.575513, 7.52586, 8.33047, 3.51899
48, -60, 1984, 0.754921, -3.89407, -1.76291, -0.476308, 2.99484, 5.79463, 7.54972, 9.2668, 9.66644, 7.06742, 4.46777, 0.424266, -0.90496, 0.251874, 7.53705, 7.06721, 3.48779
48, -60, 1985, -2.88227, -2.53451, -1.11374, -1.68384, 1.91856, 5.1286, 8.04911, 8.94621, 8.90467, 7.91254, 5.38, 2.35637, -1.02014, -0.293009, 7.37464, 7.39907, 3.36514
48, -60, 1986, -1.34558, -2.98085, -4.05907, 0.224142, 2.68761, 5.79548, 8.42948, 10.0063, 10.4108, 9.04403, 6.27555, 3.55058, -0.258618, -0.382438, 8.07708, 8.5768, 4.00321
48, -60, 1987, -1.78857, -3.10897, -2.53168, -0.0299974, 2.71968, 5.16301, 7.52188, 9.23796, 9.83459, 7.61972, 4.82084, 2.05955, -0.946, 0.0526662, 7.30762, 7.42505, 3.45983
48, -60, 1988, -2.59832, -3.15557, -2.04796, -0.276049, 2.26239, 4.65, 8.05935, 9.77606, 10.0302, 9.32355, 5.6815, 0.881407, -1.62416, -0.0205414, 7.49513, 8.34509, 3.54888
48, -60, 1989, -2.0208, -2.03437, -2.19097, -0.27128, 2.80192, 5.73748, 8.50962, 9.71303, 10.5695, 8.88246, 4.78094, 1.81689, -0.746094, 0.113224, 7.98671, 8.07764, 3.85787
48, -60, 1990, -3.6711, -5.24193, -6.19599, -2.77819, 1.32396, 4.5688, 7.68708, 9.08191, 9.80497, 7.83525, 5.33631, 0.828308, -2.69491, -2.55008, 7.11259, 7.65885, 2.38161
48, -60, 1991, -4.80385, -5.31877, -3.78986, -0.513371, 2.30667, 4.70567, 7.16241, 9.59604, 8.8946, 8.80457, 5.46773, 0.687643, -3.14499, -0.665519, 7.15471, 7.7223, 2.76662
48, -60, 1992, -3.83004, -7.0593, -6.05712, -1.96552, 1.38769, 4.16735, 7.21105, 8.80224, 9.16839, 7.33328, 5.38091, 1.80454, -3.02827, -2.21165, 6.72688, 7.29419, 2.19529
48, -60, 1993, -2.04622, -4.67902, -2.43642, -0.960256, 1.13761, 4.62481, 7.34996, 9.27952, 9.172, 7.53437, 5.61922, 1.33898, -1.79542, -0.753022, 7.08476, 7.44186, 2.99455
48, -60, 1994, -2.65083, -2.45988, -1.10179, -0.375651, 2.8626, 5.54615, 8.90224, 9.54996, 9.56131, 7.85114, 5.06668, 1.9211, -1.0632, 0.461721, 7.99945, 7.49304, 3.72275
48, -60, 1995, -2.40318, -4.781, -4.18544, -1.00715, 2.37454, 5.73608, 8.68049, 10.2173, 10.1364, 8.89084, 5.4822, 3.35649, -1.2759, -0.93935, 8.2113, 8.16982, 3.54147
48, -60, 1996, -1.17311, -3.32829, -2.22867, -0.307911, 2.6027, 5.53136, 8.13559, 10.1065, 10.1779, 9.22997, 6.16948, 2.70098, -0.600139, 0.0220406, 7.92448, 8.52577, 3.96804
